conceptType,conceptUri,preferredLabel,status,skillType,reuseLevel,altLabels,description,broaderConceptUri,broaderConceptPT
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/3a560dc4-ee2e-4437-b94f-c076a2b5f25e,waterbronnen inspecteren,released,skill/competence,cross-sector,,"Het onderzoeken van waterputten op verontreiniging en overeenstemming met de bouwnormen. Indien nodig, bevel geven tot het sluiten van de boorput.",http://data.europa.eu/esco/skill/0e0a44a8-654c-4e85-986a-fb4386114838,controleren van veiligheid en beveiliging
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/3b4f2a64-9884-4f3d-8020-44dc95919a7c,het isolatieconcept ontwerpen,released,skill/competence,sector-specific,,"De details ontwerpen van isolatie en oplossingen voor koudebruggen. Het meest geschikte materiaal kiezen voor de isolatie, rekening houdend met de behoeften van het gebouw.
	",http://data.europa.eu/esco/skill/39fa260c-4f85-48e3-83ce-e292e696c233,ontwerpen van elektrische of elektronische systemen en apparatuur
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/3b73a161-be59-4079-815e-b4879f9b20b5,gasverbruik,released,knowledge,sector-specific,gasconsumptie | gasgebruik,"De factoren die een rol spelen bij berekening en schatting van het gasverbruik in een woonhuis of bedrijfsgebouw, evenals de wijzen waarop het gasverbruik kan worden verminderd of zuiniger met gas kan worden omgegaan.",http://data.europa.eu/esco/isced-f/0713,elektriciteit en energie
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/3bf93cf6-2b6f-46ad-b0ba-3b161379bac1,selectieve sloop uitvoeren,released,skill/competence,sector-specific,,"Afbreken van een structuur, of een deel daarvan, met selectieve sloop. De verschillende materialen in het gebouw identificeren en hun herbruikbaarheid en waarde beoordelen. Alle herbruikbare materialen verwijderen zonder deze te beschadigen.
	",http://data.europa.eu/esco/skill/59c46f34-bffd-4859-adf4-3839c2a73821,bouwen
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/3c1622fc-6c95-4b51-98da-1814ebe6e889,geothermische energiesystemen,released,knowledge,sector-specific,,"Verwarming bij lage temperaturen en koeling bij hoge temperaturen, opgewekt door het gebruik van geothermische energie, en de bijdrage ervan aan de energieprestaties.
	",http://data.europa.eu/esco/isced-f/0713,elektriciteit en energie
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/3d69b305-4051-4c1d-ba1e-d8c5b35e22db,omgevingsparameters controleren,released,skill/competence,cross-sector,omgevingsparameters monitoren | omgevingsparameters opvolgen,"Het effect van de machines voor de productie op het milieu controleren, de temperatuurniveaus, waterkwaliteit en luchtverontreiniging analyseren.",http://data.europa.eu/esco/skill/d519fadd-85bf-475f-bf14-c53a0290687d | http://data.europa.eu/esco/skill/7dd94ad3-13d6-43fe-8b94-51fcbf67ced9 | http://data.europa.eu/esco/skill/4c3ab565-747c-4db3-8c47-79e8d6f98cf4,controleren van omgevingsomstandigheden | kritisch denken | manieren vinden om de negatieve gevolgen van consumptie te verminderen
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/3d9873e5-7128-49d9-9048-f72b8ea4b29e,bossen beheren,released,skill/competence,sector-specific,,Bosbeheerplannen opstellen door toepassing van de bedrijfsmethoden en de bosbouwprincipes met het oog op een efficiënt beheer van de bosbestanden.,http://data.europa.eu/esco/skill/87dff904-fb74-4d59-972e-1c2387579d94,begeleiden van operationele werkzaamheden
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/3de6d427-546b-450b-97ba-d3d50eb274da,apparatuur voor waterzuivering bedienen,released,skill/competence,cross-sector,uitrusting voor waterzuivering gebruiken | machines voor waterzuivering bedienen | machines voor waterzuivering gebruiken | apparatuur voor waterzuivering gebruiken,"Bediening en aanpassing van de apparatuur voor het zuiveren en helder maken van het water, het verwerken en behandelen van afvalwater, lucht en vaste stoffen, het recycleren of zuiveren van behandeld water en het opwekken van elektriciteit.",http://data.europa.eu/esco/skill/d3b2c894-33fb-47c4-aff0-27935a082bf6,"bedienen van systemen en apparatuur voor de verwerking van aardolie, chemicaliën en water"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/3dffcb35-26d4-4fee-8517-002f9e40508a,biogasenergie in gebouwen integreren,released,skill/competence,sector-specific,,"Het ontwerpen en berekenen van installaties voor verwarming en warm tapwater die gebruikmaken van biogas.
	",http://data.europa.eu/esco/skill/b85caa4a-f04b-4331-80df-11404fd71225,"installeren van verwarmings-, ventilatie- en airconditioningsapparatuur"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/3e25fd3e-2bcd-4320-9587-0aadf7fb93b1,advies geven over bodem- en waterbescherming,released,skill/competence,sector-specific,,"Advies geven over de methoden om de bodem en waterbronnen te beschermen tegen verontreiniging, zoals de uitspoeling van nitraat die verantwoordelijk is voor bodemerosie.
	",http://data.europa.eu/esco/skill/062a9fde-cd91-44f9-9a2f-9e2bc3b281fd,adviseren over milieukwesties
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/3e37d714-4d65-416d-a138-46f7e2a98073,warmtepompinstallaties ontwerpen,released,skill/competence,sector-specific,,"Een warmtepompsysteem ontwerpen, inclusief berekeningen van warmteverlies of -transmissie, benodigd vermogen, mono- of bivalent, energiebalansen en geluidsreductie.
	",http://data.europa.eu/esco/skill/39fa260c-4f85-48e3-83ce-e292e696c233,ontwerpen van elektrische of elektronische systemen en apparatuur
